marque;modèle;date début commercialisation;date fin commercialisation (déduite);différence;prédécesseur;successeur;prix au lancement (€);largeur (mm);hauteur (mm);epaisseur (mm);masse (g);surface utile (%);type écran;densité (ppi);largeur (px);hauteur (px);résistant aux rayures;gorilla glass;certificat de résistance;nombre de processeur;antutu;fréquence (GHz);RAM (GB);capacité (GB);extensible;capacité (mAh);endurance générale ;endurance pour appeler;endurance pour surfer;endurance pour vidéos;dxomark;Résolution capteur principal (Mpx);Ouverture capteur principal (ƒ/);Résolution capteur selfie (Mpx);Ouverture capteur selfie (ƒ/);fingerprint;proximité;accéléromètre;lumière d'ambiance;Boussole;gyroscope;baromètre;NFC;jack;radio FM;computer sync;tethering;VoLTE;OTA;bluetooth;2G (FR);3G (FR);4G (FR);5G (FR);2G (US);3G (US);4G (US);5G (US);2G (JP);3G (JP);4G (JP);5G (JP);2G (CN);3G (CN);4G (CN);5G (CN);nombre avis;général (avis);rayures? (avis);joli? (avis);pratique? (avis) ;soleil? (avis);son? (avis);fluide? (avis);jeux? (avis);photos diurnes (avis);photos nocturnes (avis);selfies? (avis);flash? (avis);appels? (avis);GPS? (avis);Wifi? (avis);obso ventes totales;obso trends
Apple;iPhone SE 2020;01/04/2020;;#NOMBRE!;iPhone SE;;489;67,3;138,4;7,3;148;65;LCD IPS;326;750;1334;Oui;Non;IP67;6;492,166;2,65;3;64;Non;1821;59;10,12;13,65;8,93;N/A;12;1,8;7;2,2;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Oui;Oui;5;1;1;1;0;0,714285714;1;0,875;0;0;0,4;0,909090909;0;0,5;0,5;1;0;5;4,5;3,4;8,2;9,6;4,6;8,4;9,8;7,2;8,8;4,6;7;8,6;9;9,2;8,2;120,0000863;576,1018607
Apple;iPhone 11;01/09/2019;;#NOMBRE!;iPhone Xr;;809;75,7;150,9;8,3;194;80;LCD IPS;324;828;1792;Oui;Non;IP68;6;521,227;2,65;4;64;Non;3110;94;17,75;15,48;18,72;109;12;1,8;12,2;N/A;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Oui;Oui;5;1;1;1;0;0,428571429;1;0,875;0;0;0,4;0,909090909;0;0,5;0,5;1;0;20;9,7;8;9,2;9,4;9;9,7;9,8;9,6;9,8;9,5;9,8;9,1;9,6;9,5;9,5;648,1420046;550,3278437
Apple;iPhone 11 Pro;01/09/2019;;#NOMBRE!;iPhone Xs;;1159;71,4;144;8,1;188;80;Oled;463;1125;2436;Oui;Non;IP68;6;515,327;2,65;4;64;Non;3046;86;17,02;13,25;15,23;117;12;1,8;12;N/A;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Oui;Oui;5;1;1;1;0;0,428571429;1;0,875;0;0;0,4;0,727272727;0;0,5;0,5;1;0;8;9,2;8,9;9,3;9,6;9,4;9,3;10;9,6;9,6;8,1;9,3;9,3;9,6;9,5;9,6;648,1420046;547,7690953
Apple;iPhone 11 Pro Max;01/09/2019;;#NOMBRE!;iPhone Xs Max;;1259;77,8;158;8,1;226;84;Oled;456;1242;2688;Oui;Non;IP68;6;522,334;2,65;4;64;Non;3969;102;21,05;15,08;19,5;117;12;1,8;12;N/A;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Oui;Oui;5;1;1;1;0;0,428571429;1;0,875;0;0;0,4;0,909090909;0;0,5;0,5;1;0;25;7,8;7,6;7,6;7,6;8,8;9;9,4;9,6;8,9;8;8,6;9;9,2;9,2;9;648,1420046;1949,412941
Apple;iPhone Xr;01/09/2018;01/09/2019;12;iPhone X;iPhone 11;859;75,7;150,9;8,3;194;80;LCD IPS;324;828;1792;Oui;Non;IP67;6;346,735;2,5;3;64;Non;2942;78;15,05;13,07;15,13;101;12,2;1,8;7,2;2,2;Non;Oui;Oui;Oui;N/A;Oui;Oui;Oui;Non;Non;Oui;Oui;N/A;Oui;5;1;1;1;0;0,428571429;1;0,875;0;0;0,4;0,636363636;0;0,5;0,75;1;0;47;9,4;8;9,3;9,1;9;9,2;9,9;9,7;9,5;8,2;9,1;9,2;9,4;9,5;9,5;672,7232606;1125,230711
Apple;iPhone Xs;01/09/2018;01/09/2019;12;iPhone X;iPhone 11 Pro;1159;70,9;143,6;7,7;177;81;Oled;463;1125;2436;Oui;Non;IP68;6;356,501;2,5;4;64;Non;2658;72;14,17;10,33;11,35;106;12,2;1,8;7,2;2,2;Non;Oui;Oui;Oui;N/A;Oui;Oui;Oui;Non;Non;Oui;Oui;Oui;Oui;5;1;1;1;0;0,428571429;1;0,9375;0;0;0,4;0,636363636;0;0,5;0,5;1;0;14;8,1;7,6;9,1;8,9;8,2;8,9;9;8,1;9;6,5;7,9;8,8;9,1;9,1;9;672,7232606;582,2218564
Apple;iPhone Xs Max;01/09/2018;01/09/2019;12;iPhone X;iPhone 11 Pro Max;1259;77,4;157,5;7,9;208;85;Oled;456;1242;2688;Oui;Non;IP68;6;354,804;2,5;4;64;Non;3174;79;16,13;11,1;13,72;106;12,2;1,8;7,2;2,2;Non;Oui;Oui;Oui;N/A;Oui;Oui;Oui;Non;Non;Oui;Oui;Oui;Oui;5;1;1;1;0;0,428571429;1;0,9375;0;0;0,4;0,636363636;0;0,5;0,75;1;0;34;8,5;6,8;9;8,8;9;8,7;9,2;8,7;9,3;7,3;7,9;8,7;8,9;9;8,6;672,7232606;604,4552557
Apple;iPhone X;01/09/2017;01/09/2018;12;;iPhone Xr;1159;70,9;143,6;7,7;174;81;Oled;512;1125;2436;Oui;Non;IP67;6;245,149;2,4;3;64;Non;2716;74;19,05;9,43;12,12;97;12;1,8;7;2,2;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Oui;Oui;5;1;1;1;0;0,428571429;1;0,8125;0;0;0,4;0,636363636;0;0,5;0,5;1;0;48;8,7;6,6;8,9;9;9;8,8;9,3;9,3;9,4;8,3;8,9;9;9,2;9;9,1;1101,702744;966,7248474
Apple;iPhone 8;01/09/2017;;#NOMBRE!;iPhone 7;;809;67,3;138,4;7,3;148;65;LCD IPS;326;750;1334;Oui;Non;IP67;6;330,027;2,4;2;64;Non;1821;66;12,4;11,9;10,6;92;12;1,8;7;2,2;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Oui;Oui;5;1;1;1;0;0,428571429;1;0,75;0;0;0,4;0,636363636;0;0,5;0,5;1;0;24;9,2;8,1;9,3;9,7;8,6;9,4;9,8;9,5;9,4;8,1;8,4;9,1;9,4;9,5;9,4;1101,702744;1270,080021
Apple;iPhone 8 Plus;01/09/2017;;#NOMBRE!;iPhone 7 Plus;;919;78,1;158,4;7,5;202;67;LCD IPS;401;1080;1920;Oui;Non;IP67;6;331,929;2,4;3;64;Non;2675;81;17,17;12,53;14,92;94;12;1,8;7,2;2,2;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Oui;Oui;5;1;1;1;0;0,428571429;1;0,75;0;0;0,4;0,636363636;0;0,5;0,5;1;0;38;8,8;7,4;9,2;8,4;8,9;9,2;9,5;9,6;9,5;8;8,4;9,1;9,3;9,4;9,1;1101,702744;1117,390653
